#Digilent WaveForms Oscilloscope Acquisition,,,
#Device Name: Discovery2,,,
#Serial Number: SN:210321AC1D4D,,,
#Date Time: 2020-12-03 16:30:41.368,,,
#Sample rate: 7.69231e+06Hz,,,
#Samples: 8192,,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,,
#Channel 1: Range: 2 V/div Offset: 0 V Attenuation: 1 X,,,
#Channel 2: Range: 2 V/div Offset: 0 V Attenuation: 1 X,,,
#Wavegen Channel 1: Running,,,
#Mode: Simple,,,
#Type: Sine,,,
#Frequency: 10 kHz,,,
#Period: 100 us,,,
#Amplitude: 1 V,,,
#Offset: 2.5 V,,,
#Symmetry: 50 %,,,
#Phase: 0 ��,,,
#Power Supplies: ON,,,
#Positive Supply: ON,,,
#Voltage: 5 V,,,
#Negative Supply: ON,,,
#Voltage: -5 V,,,
,,,
Time (s),Channel 1 (V),Channel 2 (V),
0.43163731,2.64055242,1.664883221,
0.43163744,2.659371079,1.660418058,
0.43163757,2.681953469,1.656008911,
0.4316377,2.700772128,1.651656073,
0.43163783,2.723354518,1.647359836,
0.43163796,2.749700641,1.643120484,
0.43163809,2.764755568,1.638938303,
0.43163822,2.787337958,1.634813569,
0.43163835,2.81368408,1.63074656,
0.43163848,2.828739007,1.626737545,
0.43163861,2.847557666,1.622786793,
0.43163874,2.870140056,1.618894567,
0.43163887,2.892722447,1.615061126,
0.431639,2.919068569,1.611286727,
0.43163913,2.937887228,1.607571622,
0.43163926,2.952942154,1.603916057,
0.43163939,2.975524545,1.600320278,
0.43163952,2.98681574,1.596784524,
0.43163965,3.013161862,1.59330903,
0.43163978,3.035744253,1.589894029,
0.43163991,3.05079918,1.586539749,
0.43164004,3.07338157,1.583246413,
0.43164017,3.095963961,1.580014242,
0.4316403,3.122310083,1.57684345,
0.43164043,3.141128741,1.573734249,
0.43164056,3.1599474,1.570686847,
0.43164069,3.182529791,1.567701447,
0.43164082,3.197584718,1.564778249,
0.43164095,3.22393084,1.561917446,
0.43164108,3.238985767,1.559119231,
0.43164121,3.261568157,1.55638379,
0.43164134,3.284150548,1.553711305,
0.43164147,3.306732938,1.551101954,
0.4316416,3.329315328,1.548555913,
0.43164173,3.348133987,1.546073349,
0.43164186,3.374480109,1.543654431,
0.43164199,3.389535036,1.541299317,
0.43164212,3.408353695,1.539008167,
0.43164225,3.434699817,1.536781132,
0.43164238,3.449754744,1.534618361,
0.43164251,3.472337135,1.532519999,
0.43164264,3.48362833,1.530486185,
0.43164277,3.509974452,1.528517056,
0.4316429,3.532556842,1.526612742,
0.43164303,3.551375501,1.52477337,
0.43164316,3.57019416,1.522999064,
0.43164329,3.589012819,1.521289942,
0.43164342,3.611595209,1.519646117,
0.43164355,3.630413868,1.5180677,
0.43164368,3.652996258,1.516554795,
0.43164381,3.67934238,1.515107504,
0.43164394,3.701924771,1.513725923,
0.43164407,3.713215966,1.512410145,
0.4316442,3.74332582,1.511160257,
0.43164433,3.758380747,1.509976342,
0.43164446,3.780963137,1.50885848,
0.43164459,3.807309259,1.507806745,
0.43164472,3.826127918,1.506821208,
0.43164485,3.844946577,1.505901933,
0.43164498,3.863765236,1.505048983,
0.43164511,3.890111358,1.504262414,
0.43164524,3.908930016,1.503542279,
0.43164537,3.927748675,1.502888626,
0.4316455,3.946567334,1.502301498,
0.43164563,3.965385992,1.501780935,
0.43164576,3.987968383,1.501326971,
0.43164589,4.014314505,1.500939637,
0.43164602,4.029369432,1.500618958,
0.43164615,4.055715554,1.500364956,
0.43164628,4.082061676,1.500177648,
0.43164641,4.104644067,1.500057046,
0.43164654,4.123462726,1.500003158,
0.43164667,4.142281384,1.500015989,
0.4316468,4.164863775,1.500095536,
0.43164693,4.183682433,1.500241796,
0.43164706,4.202501092,1.500454757,
0.43164719,4.221319751,1.500734406,
0.43164732,4.236374678,1.501080724,
0.43164745,4.251429605,1.501493689,
0.43164758,4.274011995,1.501973272,
0.43164771,4.292830654,1.502519441,
0.43164784,4.307885581,1.50313216,
0.43164797,4.322940508,1.503811389,
0.4316481,4.337995435,1.504557081,
0.43164823,4.360577825,1.505369188,
0.43164836,4.375632752,1.506247655,
0.43164849,4.383160216,1.507192422,
0.43164862,4.394451411,1.508203428,
0.43164875,4.398215143,1.509280605,
0.43164888,4.409506338,1.510423881,
0.43164901,4.417033801,1.51163318,
0.43164914,4.424561265,1.512908421,
0.43164927,4.439616192,1.514249518,
0.4316494,4.443379923,1.515656383,
0.43164953,4.454671119,1.517128922,
0.43164966,4.454671119,1.518667036,
0.43164979,4.462198582,1.520270623,
0.43164992,4.462198582,1.521939575,
0.43165005,4.462198582,1.523673782,
0.43165018,4.469726046,1.525473127,
0.43165031,4.469726046,1.527337491,
0.43165044,4.473489777,1.52926675,
0.43165057,4.465962314,1.531260774,
0.4316507,4.465962314,1.53331943,
0.43165083,4.465962314,1.535442582,
0.43165096,4.462198582,1.537630087,
0.43165109,4.454671119,1.539881799,
0.43165122,4.454671119,1.542197569,
0.43165135,4.45843485,1.544577242,
0.43165148,4.45843485,1.547020658,
0.43165161,4.45843485,1.549527656,
0.43165174,4.454671119,1.552098068,
0.43165187,4.454671119,1.554731722,
0.431652,4.454671119,1.557428442,
0.43165213,4.447143655,1.560188049,
0.43165226,4.447143655,1.563010358,
0.43165239,4.454671119,1.565895182,
0.43165252,4.447143655,1.568842328,
0.43165265,4.443379923,1.571851598,
0.43165278,4.443379923,1.574922793,
0.43165291,4.443379923,1.578055708,
0.43165304,4.439616192,1.581250132,
0.43165317,4.439616192,1.584505854,
0.4316533,4.439616192,1.587822657,
0.43165343,4.439616192,1.591200318,
0.43165356,4.447143655,1.594638612,
0.43165369,4.439616192,1.598137311,
0.43165382,4.439616192,1.60169618,
0.43165395,4.443379923,1.605314982,
0.43165408,4.443379923,1.608993476,
0.43165421,4.443379923,1.612731416,
0.43165434,4.447143655,1.616528553,
0.43165447,4.450907387,1.620384634,
0.4316546,4.450907387,1.624299401,
0.43165473,4.447143655,1.628272593,
0.43165486,4.447143655,1.632303946,
0.43165499,4.454671119,1.636393189,
0.43165512,4.447143655,1.640540051,
0.43165525,4.450907387,1.644744254,
0.43165538,4.450907387,1.649005518,
0.43165551,4.447143655,1.653323559,
0.43165564,4.454671119,1.657698089,
0.43165577,4.450907387,1.662128816,
0.4316559,4.454671119,1.666615443,
0.43165603,4.454671119,1.671157673,
0.43165616,4.447143655,1.675755202,
0.43165629,4.454671119,1.680407722,
0.43165642,4.447143655,1.685114925,
0.43165655,4.447143655,1.689876494,
0.43165668,4.447143655,1.694692114,
0.43165681,4.450907387,1.699561463,
0.43165694,4.447143655,1.704484215,
0.43165707,4.450907387,1.709460043,
0.4316572,4.450907387,1.714488614,
0.43165733,4.447143655,1.719569593,
0.43165746,4.447143655,1.72470264,
0.43165759,4.450907387,1.729887415,
0.43165772,4.450907387,1.735123569,
0.43165785,4.450907387,1.740410755,
0.43165798,4.454671119,1.745748619,
0.43165811,4.447143655,1.751136806,
0.43165824,4.439616192,1.756574955,
0.43165837,4.443379923,1.762062704,
0.4316585,4.443379923,1.767599687,
0.43165863,4.439616192,1.773185535,
0.43165876,4.439616192,1.778819874,
0.43165889,4.447143655,1.784502329,
0.43165902,4.443379923,1.79023252,
0.43165915,4.447143655,1.796010066,
0.43165928,4.450907387,1.801834581,
0.43165941,4.439616192,1.807705676,
0.43165954,4.447143655,1.81362296,
0.43165967,4.443379923,1.819586038,
0.4316598,4.43585246,1.825594511,
0.43165993,4.439616192,1.83164798,
0.43166006,4.443379923,1.83774604,
0.43166019,4.443379923,1.843888284,
0.43166032,4.447143655,1.850074303,
0.43166045,4.443379923,1.856303683,
0.43166058,4.450907387,1.86257601,
0.43166071,4.443379923,1.868890865,
0.43166084,4.450907387,1.875247826,
0.43166097,4.447143655,1.881646469,
